year,month,dep_time,dep_delay,arr_time,arr_delay,distance,op_unique_carrier_code,origin_city_name_code,dest_city_name_code
2024,10,1310.0,-4.0,1505.0,5.0,507.0,1,46,256
2024,5,833.0,-7.0,1329.0,-7.0,1211.0,4,147,226
2024,8,2319.0,-4.0,33.0,-19.0,854.0,9,184,116
2024,10,954.0,-8.0,1812.0,-17.0,2475.0,1,147,183
2024,1,1305.0,-5.0,1558.0,-27.0,850.0,13,38,70
2024,9,1058.0,-2.0,1350.0,-4.0,1303.0,1,192,65
2024,8,1219.0,-6.0,1359.0,-26.0,1109.0,13,158,64
2024,2,1517.0,9.0,1737.0,-1.0,425.0,4,175,14
2024,12,1629.0,135.0,1943.0,130.0,867.0,1,50,33
2024,8,728.0,-2.0,1118.0,-12.0,1208.0,12,112,269
2024,11,612.0,-10.0,810.0,-6.0,534.0,10,241,48
2024,1,518.0,-7.0,649.0,-34.0,489.0,4,4,72
2024,6,603.0,-2.0,724.0,-16.0,733.0,4,176,51
2024,3,728.0,6.0,1258.0,50.0,1487.0,4,161,89
2024,4,1440.0,18.0,1701.0,-4.0,861.0,9,192,191
2024,5,600.0,-5.0,802.0,-3.0,1108.0,13,84,64
2024,6,2123.0,13.0,2237.0,-5.0,950.0,6,12,17
2024,2,1552.0,2.0,1726.0,16.0,345.0,13,207,143
2024,6,1012.0,-3.0,1240.0,-9.0,861.0,1,184,198
2024,5,624.0,-6.0,705.0,-14.0,551.0,9,184,182
2024,8,615.0,0.0,714.0,-1.0,216.0,13,109,115
2024,1,1402.0,2.0,1658.0,-24.0,2565.0,12,177,228
2024,1,1037.0,-5.0,1052.0,-8.0,271.0,4,15,195
2024,11,1821.0,-9.0,2029.0,-22.0,641.0,4,176,45
2024,5,1457.0,12.0,1758.0,10.0,1389.0,1,176,65
2024,12,725.0,-5.0,959.0,-1.0,873.0,13,194,256
2024,2,1355.0,15.0,1629.0,4.0,629.0,13,50,214
2024,8,1031.0,-4.0,1345.0,-17.0,931.0,4,161,269
2024,9,1155.0,5.0,1446.0,-9.0,745.0,13,50,45
