year,month,dep_time,dep_delay,arr_time,arr_delay,distance,op_unique_carrier_code,origin_city_name_code,dest_city_name_code
2024,4,1015.0,-3.0,1139.0,-10.0,835.0,8,62,212
2024,1,1633.0,-4.0,1906.0,-17.0,1773.0,1,46,199
2024,12,952.0,-8.0,1042.0,-17.0,106.0,0,48,14
2024,4,1334.0,4.0,1431.0,1.0,1099.0,13,182,143
2024,2,1333.0,-7.0,1509.0,-1.0,399.0,13,20,179
2024,4,708.0,-7.0,816.0,-14.0,304.0,13,222,199
2024,11,924.0,-9.0,1158.0,-4.0,914.0,6,155,7
2024,8,1850.0,-5.0,2128.0,-27.0,1973.0,2,174,205
2024,4,814.0,-6.0,937.0,-2.0,308.0,11,147,229
2024,2,2227.0,-8.0,2327.0,-23.0,238.0,11,223,18
2024,9,1548.0,47.0,1743.0,36.0,813.0,6,66,17
2024,3,2115.0,36.0,25.0,48.0,1096.0,1,158,183
2024,6,639.0,4.0,805.0,6.0,257.0,1,208,48
2024,10,1911.0,-14.0,1948.0,-27.0,612.0,13,254,181
2024,8,903.0,-2.0,1707.0,-18.0,2402.0,1,147,198
2024,3,859.0,-6.0,947.0,-15.0,483.0,12,239,70
2024,7,1612.0,2.0,1750.0,-24.0,1452.0,12,266,70
2024,12,754.0,-6.0,1302.0,-17.0,1452.0,12,65,269
2024,10,1537.0,-3.0,1600.0,-12.0,425.0,4,15,182
2024,4,1806.0,-4.0,2025.0,-10.0,880.0,13,232,19
2024,7,827.0,-5.0,929.0,-6.0,651.0,11,67,189
2024,9,1817.0,12.0,2105.0,24.0,927.0,5,254,55
2024,11,715.0,-5.0,946.0,-16.0,925.0,12,112,51
2024,10,556.0,-4.0,1007.0,-25.0,1389.0,4,62,183
2024,10,1358.0,-7.0,1612.0,-1.0,157.0,11,50,92
2024,2,957.0,-7.0,1155.0,-31.0,683.0,1,201,48
2024,9,918.0,49.0,1213.0,43.0,677.0,11,147,5
2024,6,1811.0,-4.0,2001.0,-13.0,1522.0,4,161,233
2024,7,1815.0,135.0,1955.0,105.0,1546.0,13,184,70
2024,11,1200.0,0.0,1324.0,-11.0,458.0,13,103,64
2024,9,659.0,-5.0,959.0,-11.0,719.0,1,50,184
2024,12,2213.0,83.0,108.0,78.0,816.0,13,112,123
2024,5,843.0,3.0,925.0,6.0,440.0,4,67,249
